6,CHEMBL1088913,0.046487237682,1
5,CHEMBL1088916,0.0461931383721,1
3,ZINC37370371,0.00684339286364,-1
1,ZINC20229078,0.00220956820615,-1
0,CHEMBL1089434,0.00180589646237,1
2,ZINC25667243,0.000846867288971,-1
4,CHEMBL1089844,0.000374442690905,1
3,CHEMBL18442,-0.00053654241429,1
2,ZINC14951683,-0.00131453858188,-1
2,ZINC20210131,-0.00229875326247,-1
0,ZINC64074128,-0.00320503683974,-1
1,ZINC63857432,-0.00427137200983,-1
3,ZINC64178595,-0.00543864685679,-1
0,ZINC63744007,-0.00608480242844,-1
1,ZINC14969463,-0.00609909070322,-1
