13,CHEMBL1088913,0.247680318783,1
12,CHEMBL1088916,0.242386371192,1
10,ZINC37370371,0.125932053174,-1
5,ZINC20229078,0.0545552393297,-1
9,ZINC25667243,0.0207803512896,-1
2,ZINC64074128,0.00393679633824,-1
8,ZINC20210131,-0.00304064210381,-1
1,CHEMBL1089434,-0.00519205711356,1
6,ZINC14951683,-0.0173754145232,-1
14,CHEMBL18442,-0.0177005188864,1
4,ZINC63857432,-0.0178223579326,-1
11,CHEMBL1089844,-0.0225856159702,1
7,ZINC64178595,-0.0615143813068,-1
3,ZINC14969463,-0.0699171819068,-1
0,ZINC63744007,-0.0745898151254,-1
