0.0 CID1964281,0.142
0.0 CID2214545,0.12
0.0 CID706562,0.103
0.0 CID1509062,0.097
0.0 CID659427,0.094
0.0 CID651995,0.088
0.0 CID3245063,0.086
0.0 CID4117900,0.083
0.0 CID648687,0.079
0.0 CID1713354,0.079
0.0 CID667278,0.074
0.0 CID648219,0.071
0.0 CID3236932,0.066
0.0 CID2997933,0.06
0.0 CID652747,0.059
0.0 CID664948,0.058
0.0 CID1069844,0.055
0.0 CID651744,0.055
0.0 CID3243646,0.055
0.0 CID1244240,0.054
0.0 CID2210728,0.052
0.0 CID664698,0.051
0.0 CID646272,0.051
0.0 CID1349870,0.051
0.0 CID2204965,0.05
0.0 CID2999313,0.049
0.0 CID1110941,0.049
0.0 CID2196864,0.047
0.0 CID647582,0.046
0.0 CID709918,0.045
0.0 CID2998378,0.045
0.0 CID2371428,0.045
0.0 CID655451,0.045
0.0 CID2608751,0.044
0.0 CID2962125,0.044
0.0 CID3238104,0.044
0.0 CID663399,0.042
0.0 CID742667,0.041
0.0 CID3238805,0.041
0.0 CID102544,0.041
0.0 CID2980748,0.041
0.0 CID662121,0.04
0.0 CID2160501,0.04
0.0 CID3245088,0.039
0.0 CID3239668,0.039
0.0 CID2997635,0.038
0.0 CID2997695,0.038
0.0 CID2112279,0.038
0.0 CID1148700,0.038
0.0 CID254340,0.037
0.0 CID3239370,0.037
0.0 CID653548,0.036
0.0 CID650734,0.035
0.0 CID653223,0.035
0.0 CID661460,0.035
0.0 CID2145574,0.035
0.0 CID775074,0.034
0.0 CID3238699,0.034
0.0 CID2842590,0.034
0.0 CID655084,0.034
0.0 CID649223,0.033
0.0 CID1231838,0.033
0.0 CID1265630,0.033
0.0 CID2570052,0.033
0.0 CID649451,0.033
0.0 CID1187349,0.032
1.0 CID3239220,0.032
0.0 CID664378,0.032
0.0 CID2196450,0.032
0.0 CID701067,0.032
0.0 CID3243076,0.031
0.0 CID797691,0.031
0.0 CID2965120,0.031
0.0 CID107645,0.031
0.0 CID656374,0.031
0.0 CID3239724,0.03
0.0 CID3243737,0.03
0.0 CID3241071,0.03
0.0 CID2132837,0.03
0.0 CID3241857,0.03
0.0 CID664283,0.03
0.0 CID2839049,0.03
0.0 CID319370,0.03
0.0 CID746485,0.029
0.0 CID1087200,0.029
0.0 CID3236645,0.029
0.0 CID2571578,0.029
0.0 CID1643368,0.029
0.0 CID651558,0.029
0.0 CID658077,0.029
0.0 CID2883761,0.029
0.0 CID3241892,0.029
0.0 CID3245923,0.028
0.0 CID876891,0.028
0.0 CID659533,0.028
0.0 CID3242781,0.028
0.0 CID3239107,0.028
0.0 CID3244995,0.028
0.0 CID662140,0.028
0.0 CID974394,0.028
0.0 CID2220268,0.028
0.0 CID2230160,0.028
0.0 CID3242012,0.028
0.0 CID3240350,0.027
0.0 CID2998243,0.027
0.0 CID649185,0.027
0.0 CID1017647,0.027
0.0 CID3243048,0.027
0.0 CID2981897,0.027
0.0 CID646200,0.027
0.0 CID2999242,0.027
0.0 CID2126228,0.027
0.0 CID1214377,0.027
0.0 CID1178217,0.027
0.0 CID3244444,0.027
0.0 CID660756,0.027
0.0 CID645962,0.027
0.0 CID661525,0.026
0.0 CID649142,0.026
0.0 CID3244957,0.026
0.0 CID655974,0.026
0.0 CID2128214,0.026
0.0 CID2255695,0.026
0.0 CID2950805,0.026
0.0 CID3239627,0.026
0.0 CID3244404,0.026
0.0 CID2033526,0.026
0.0 CID659051,0.025
0.0 CID664144,0.025
0.0 CID2997765,0.025
0.0 CID3241023,0.025
0.0 CID3236384,0.025
0.0 CID661832,0.025
0.0 CID3239108,0.025
0.0 CID2997517,0.025
0.0 CID2538737,0.025
0.0 CID999019,0.025
0.0 CID3241312,0.025
0.0 CID2058658,0.025
0.0 CID660787,0.025
0.0 CID2999035,0.025
0.0 CID3236738,0.025
0.0 CID2999384,0.025
0.0 CID826348,0.025
0.0 CID645001,0.024
0.0 CID3241424,0.024
0.0 CID2906215,0.024
0.0 CID666902,0.024
0.0 CID2968713,0.024
0.0 CID655042,0.024
0.0 CID3243802,0.024
0.0 CID1295615,0.024
0.0 CID647727,0.024
0.0 CID651484,0.024
0.0 CID3244819,0.024
0.0 CID3242830,0.024
0.0 CID2957591,0.024
0.0 CID658820,0.024
0.0 CID559616,0.024
0.0 CID3245843,0.023
0.0 CID3236790,0.023
0.0 CID665141,0.023
